date;id;condition;phase;type;time;unit;end_position;all_positions;gallery_shape_number;gallery;gallery_normalized
2025-04-15_09h19.14.441;999;group;practice;moveblock;5.325777416641358;0;[-0.245, 0.07];[[-0.315, 0.0], [-0.245, 0.0], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [0.175, 0.0], [0.245, 0.0], [0.315, 0.0]];nan;nan;nan
2025-04-15_09h19.14.441;999;group;practice;moveblock;13.764505916653434;9;[0.245, 0.07];[[-0.245, 0.07], [-0.245, 0.0], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [0.175, 0.0], [0.245, 0.0], [0.315, 0.0]];nan;nan;nan
2025-04-15_09h19.14.441;999;group;practice;moveblock;22.553430208325153;0;[-0.175, 0.07];[[-0.245, 0.07], [-0.245, 0.0], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [0.175, 0.0], [0.245, 0.0], [0.245, 0.07]];nan;nan;nan
2025-04-15_09h19.14.441;999;group;practice;moveblock;23.701920624997;1;[-0.105, 0.07];[[-0.175, 0.07], [-0.245, 0.0], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [0.175, 0.0], [0.245, 0.0], [0.245, 0.07]];nan;nan;nan
2025-04-15_09h19.14.441;999;group;practice;moveblock;29.4588718333398;0;[-0.035, 0.07];[[-0.175, 0.07], [-0.105, 0.07], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [0.175, 0.0], [0.245, 0.0], [0.245, 0.07]];nan;nan;nan
2025-04-15_09h19.14.441;999;group;practice;moveblock;30.30999979164335;2;[-0.175, 0.07];[[-0.035, 0.07], [-0.105, 0.07], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [0.175, 0.0], [0.245, 0.0], [0.245, 0.07]];nan;nan;nan
2025-04-15_09h19.14.441;999;group;practice;moveblock;30.77551579163992;0;[0.035, 0.07];[[-0.035, 0.07], [-0.105, 0.07], [-0.175, 0.07], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [0.175, 0.0], [0.245, 0.0], [0.245, 0.07]];nan;nan;nan
2025-04-15_09h19.14.441;999;group;practice;moveblock;32.142491541657364;2;[-0.035, 0.07];[[0.035, 0.07], [-0.105, 0.07], [-0.175, 0.07], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [0.175, 0.0], [0.245, 0.0], [0.245, 0.07]];nan;nan;nan
2025-04-15_09h19.14.441;999;group;practice;moveblock;34.850115166656906;1;[0.105, 0.07];[[0.035, 0.07], [-0.105, 0.07], [-0.035, 0.07], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [0.175, 0.0], [0.245, 0.0], [0.245, 0.07]];nan;nan;nan
2025-04-15_09h19.14.441;999;group;practice;moveblock;39.051565333327744;3;[0.035, -0.07];[[0.035, 0.07], [0.105, 0.07], [-0.035, 0.07], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [0.175, 0.0], [0.245, 0.0], [0.245, 0.07]];nan;nan;nan
