date;id;condition;phase;type;start_time;end_time;unit;end_position;all_positions;gallery_shape_number;gallery;gallery_normalized
2025-05-15_14h47.47.474;999;individual;practice;moveblock;3.494614699971862;4.263904099934734;0;[np.float64(-0.035), np.float64(-0.07)];[[np.float64(-0.315), np.float64(0.0)], [np.float64(-0.245), np.float64(0.0)], [np.float64(-0.175), np.float64(0.0)], [np.float64(-0.105), np.float64(0.0)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.175), np.float64(0.0)], [np.float64(0.245), np.float64(0.0)], [np.float64(0.315), np.float64(0.0)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;7.289626599987969;8.196020200033672;9;[np.float64(0.105), np.float64(0.07)];[[np.float64(-0.035), np.float64(-0.07)], [np.float64(-0.245), np.float64(0.0)], [np.float64(-0.175), np.float64(0.0)], [np.float64(-0.105), np.float64(0.0)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.175), np.float64(0.0)], [np.float64(0.245), np.float64(0.0)], [np.float64(0.315), np.float64(0.0)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;10.893067399971187;11.309952299925499;1;[np.float64(-0.035), np.float64(0.07)];[[np.float64(-0.035), np.float64(-0.07)], [np.float64(-0.245), np.float64(0.0)], [np.float64(-0.175), np.float64(0.0)], [np.float64(-0.105), np.float64(0.0)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.175), np.float64(0.0)], [np.float64(0.245), np.float64(0.0)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;13.774220600025728;14.503886200021952;8;[np.float64(0.105), np.float64(-0.07)];[[np.float64(-0.035), np.float64(-0.07)], [np.float64(-0.035), np.float64(0.07)], [np.float64(-0.175), np.float64(0.0)], [np.float64(-0.105), np.float64(0.0)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.175), np.float64(0.0)], [np.float64(0.245), np.float64(0.0)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;16.537343899952248;17.554711399949156;2;[np.float64(0.035), np.float64(-0.07)];[[np.float64(-0.035), np.float64(-0.07)], [np.float64(-0.035), np.float64(0.07)], [np.float64(-0.175), np.float64(0.0)], [np.float64(-0.105), np.float64(0.0)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.175), np.float64(0.0)], [np.float64(0.105), np.float64(-0.07)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;21.857150099938735;22.663920999970287;7;[np.float64(0.035), np.float64(0.07)];[[np.float64(-0.035), np.float64(-0.07)], [np.float64(-0.035), np.float64(0.07)], [np.float64(0.035), np.float64(-0.07)], [np.float64(-0.105), np.float64(0.0)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.175), np.float64(0.0)], [np.float64(0.105), np.float64(-0.07)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;24.16706779995002;24.812891599955037;3;[np.float64(-0.035), np.float64(-0.14)];[[np.float64(-0.035), np.float64(-0.07)], [np.float64(-0.035), np.float64(0.07)], [np.float64(0.035), np.float64(-0.07)], [np.float64(-0.105), np.float64(0.0)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.035), np.float64(0.07)], [np.float64(0.105), np.float64(-0.07)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;26.838133199955337;27.37941419996787;8;[np.float64(0.035), np.float64(-0.14)];[[np.float64(-0.035), np.float64(-0.07)], [np.float64(-0.035), np.float64(0.07)], [np.float64(0.035), np.float64(-0.07)], [np.float64(-0.035), np.float64(-0.14)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.035), np.float64(0.07)], [np.float64(0.105), np.float64(-0.07)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;28.827598799951375;29.557977400021628;2;[np.float64(0.175), np.float64(0.07)];[[np.float64(-0.035), np.float64(-0.07)], [np.float64(-0.035), np.float64(0.07)], [np.float64(0.035), np.float64(-0.07)], [np.float64(-0.035), np.float64(-0.14)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.035), np.float64(0.07)], [np.float64(0.035), np.float64(-0.14)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;32.39120409998577;33.05645929998718;1;[np.float64(0.035), np.float64(0.14)];[[np.float64(-0.035), np.float64(-0.07)], [np.float64(-0.035), np.float64(0.07)], [np.float64(0.175), np.float64(0.07)], [np.float64(-0.035), np.float64(-0.14)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.035), np.float64(0.07)], [np.float64(0.035), np.float64(-0.14)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
