"","gallery_normalized","shape_frequency"
"1","[[-0.14, -0.07], [-0.14, 0.0], [-0.14, 0.07], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, 0.0], [0.07, 0.0], [0.14, 0.0], [0.21, 0.0]]",1
"2","[[0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.14], [0.07, 0.07], [0.14, -0.14], [0.14, -0.07], [0.14, 0.0], [0.14, 0.07]]",10
"3","[[-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14]]",6
"4","[[-0.14, -0.07], [-0.14, 0.0], [-0.14, 0.07], [-0.07, 0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.07], [0.14, -0.07], [0.14, 0.0], [0.14, 0.07]]",7
"5","[[-0.14, -0.14], [-0.14, -0.07], [-0.07, -0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.07], [0.14, -0.14], [0.14, -0.07]]",1
"6","[[-0.14, -0.07], [-0.07, -0.07], [-0.07, 0.0], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.07], [0.07, 0.0], [0.14, -0.07]]",8
"7","[[-0.07, 0.0], [-0.07, 0.07], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.07, 0.0], [0.07, 0.07]]",5
"8","[[-0.07, -0.14], [-0.07, 0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.07, -0.14], [0.07, 0.21]]",4
"9","[[-0.14, 0.0], [-0.07, 0.0], [0.0, 0.0], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.14, 0.0], [0.21, 0.0]]",2
"10","[[-0.07, -0.07], [-0.07, 0.0], [0.0, -0.07], [0.0, 0.0], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.14, -0.07], [0.14, 0.0]]",1
"11","[[-0.21, 0.0], [-0.14, 0.0], [-0.07, 0.0], [-0.07, 0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.0], [0.07, 0.07], [0.14, 0.07], [0.21, 0.07]]",1
"12","[[-0.07, -0.07], [-0.07, 0.0], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.14, 0.0]]",1
"13","[[-0.14, 0.0], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.14, 0.14]]",1
"14","[[-0.14, -0.07], [-0.07, -0.07], [0.0, -0.07], [0.0, 0.0], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.14, 0.0], [0.14, 0.07], [0.21, 0.07]]",1
"15","[[-0.14, -0.14], [-0.14, -0.07], [-0.14, 0.0], [-0.07, 0.0], [0.0, 0.0], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.14, 0.14], [0.21, 0.14]]",1
"16","[[0.0, -0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.07, 0.21], [0.14, 0.14], [0.14, 0.21]]",3
"17","[[-0.14, -0.07], [-0.14, 0.0], [-0.14, 0.07], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.0], [0.14, -0.07], [0.14, 0.0]]",2
"18","[[-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.14], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14]]",11
"19","[[-0.21, -0.07], [-0.14, -0.07], [-0.14, 0.0], [-0.14, 0.07], [-0.07, -0.07], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07]]",2
"20","[[-0.14, -0.07], [-0.14, 0.0], [-0.14, 0.07], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.0], [0.14, 0.0]]",1
"21","[[-0.07, 0.0], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.14, 0.0], [0.14, 0.07]]",4
"22","[[-0.14, 0.0], [-0.07, 0.0], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.0], [0.14, -0.07], [0.14, 0.0], [0.14, 0.07], [0.21, 0.0]]",1
"23","[[-0.28, 0.0], [-0.21, 0.0], [-0.14, 0.0], [-0.07, 0.0], [0.0, 0.0], [0.07, 0.0], [0.14, 0.0], [0.21, 0.0], [0.28, 0.0], [0.35, 0.0]]",6
"24","[[-0.14, -0.14], [-0.14, -0.07], [-0.14, 0.0], [-0.07, 0.0], [0.0, 0.0], [0.07, 0.0], [0.14, 0.0], [0.21, -0.14], [0.21, -0.07], [0.21, 0.0]]",1
"25","[[-0.14, 0.0], [-0.14, 0.07], [-0.14, 0.14], [-0.14, 0.21], [-0.07, 0.0], [0.0, 0.0], [0.07, 0.0], [0.14, -0.14], [0.14, -0.07], [0.14, 0.0]]",2
"26","[[0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.07], [0.07, 0.14], [0.14, -0.07], [0.14, 0.0], [0.14, 0.07], [0.14, 0.14]]",5
"27","[[0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.14], [0.07, -0.07], [0.07, 0.14], [0.07, 0.21], [0.14, -0.07], [0.14, 0.14]]",1
"28","[[0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.21], [0.07, -0.14], [0.07, -0.07], [0.07, 0.14], [0.07, 0.21], [0.07, 0.28]]",1
"29","[[0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.07, -0.14], [0.07, 0.14], [0.14, -0.14], [0.14, 0.14]]",1
"30","[[0.0, -0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.07, -0.21], [0.14, -0.21], [0.21, -0.21]]",5
"31","[[-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07]]",7
"32","[[-0.07, 0.07], [-0.07, 0.14], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.07, 0.07], [0.07, 0.14]]",5
