date;id;condition;phase;type;start_time;end_time;unit;end_position;all_positions;gallery_shape_number;gallery;gallery_normalized
2025-07-27_18h11.58.511;999;individual;practice;moveblock;5.36365389963612;5.954257099889219;0;[-0.245, -0.07];[[-0.315, 0.0], [-0.245, 0.0], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [0.175, 0.0], [0.245, 0.0], [0.315, 0.0]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;moveblock;7.532329099718481;8.881324699614197;9;[0.175, 0.07];[[-0.245, -0.07], [-0.245, 0.0], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [0.175, 0.0], [0.245, 0.0], [0.315, 0.0]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;moveblock;10.669442899990827;11.581831799820065;8;[0.035, -0.07];[[-0.245, -0.07], [-0.245, 0.0], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [0.175, 0.0], [0.245, 0.0], [0.175, 0.07]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;moveblock;13.074190000072122;14.41540260007605;9;[0.105, -0.07];[[-0.245, -0.07], [-0.245, 0.0], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [0.175, 0.0], [0.035, -0.07], [0.175, 0.07]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;moveblock;15.79617409966886;16.819687000010163;0;[-0.175, 0.07];[[-0.245, -0.07], [-0.245, 0.0], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [0.175, 0.0], [0.035, -0.07], [0.105, -0.07]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;added shape to gallery;17.694256199989468;nan;nan;nan;1;[[-0.175, 0.07], [-0.245, 0.0], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [0.175, 0.0], [0.035, -0.07], [0.105, -0.07]];[[-0.21, 0.0], [-0.14, 0.0], [-0.14, 0.07], [-0.07, 0.0], [0.0, 0.0], [0.07, -0.07], [0.07, 0.0], [0.14, -0.07], [0.14, 0.0], [0.21, 0.0]]
2025-07-27_18h11.58.511;999;individual;practice;moveblock;20.466076199896634;21.630863799713552;7;[-0.035, 0.07];[[-0.175, 0.07], [-0.245, 0.0], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [0.175, 0.0], [0.035, -0.07], [0.105, -0.07]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;moveblock;23.869751299731433;25.416340199764818;8;[-0.245, 0.07];[[-0.175, 0.07], [-0.245, 0.0], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [-0.035, 0.07], [0.035, -0.07], [0.105, -0.07]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;added shape to gallery;26.445274699945003;nan;nan;nan;2;[[-0.175, 0.07], [-0.245, 0.0], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [-0.035, 0.07], [-0.245, 0.07], [0.105, -0.07]];[[-0.14, 0.0], [-0.14, 0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, 0.0], [0.07, 0.0], [0.07, 0.07], [0.14, 0.0], [0.21, -0.07], [0.21, 0.0]]
2025-07-27_18h11.58.511;999;individual;practice;moveblock;28.499077199958265;29.629187199752778;1;[-0.035, -0.07];[[-0.175, 0.07], [-0.245, 0.0], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [-0.035, 0.07], [-0.245, 0.07], [0.105, -0.07]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;moveblock;30.67058019991964;31.229281099978834;8;[-0.105, 0.07];[[-0.175, 0.07], [-0.035, -0.07], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [-0.035, 0.07], [-0.245, 0.07], [0.105, -0.07]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;added shape to gallery;34.03772210003808;nan;nan;nan;3;[[-0.175, 0.07], [-0.035, -0.07], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [-0.035, 0.07], [-0.105, 0.07], [0.105, -0.07]];[[-0.14, 0.0], [-0.14, 0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.0], [0.14, -0.07], [0.14, 0.0]]
2025-07-27_18h11.58.511;999;individual;practice;moveblock;36.74389209970832;37.4610584997572;1;[0.035, 0.07];[[-0.175, 0.07], [-0.035, -0.07], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [-0.035, 0.07], [-0.105, 0.07], [0.105, -0.07]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;moveblock;39.547731599770486;40.01086839986965;9;[0.105, 0.07];[[-0.175, 0.07], [0.035, 0.07], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [-0.035, 0.07], [-0.105, 0.07], [0.105, -0.07]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;moveblock;42.33695239992812;43.26190759986639;2;[0.175, 0.07];[[-0.175, 0.07], [0.035, 0.07], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [-0.035, 0.07], [-0.105, 0.07], [0.105, 0.07]];nan;nan;nan
